epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
0,7907387.0,10682.19921875,7916156.0,7916156.0,0.009984208,8244658.0,3846424533925888.0,24566952886272.0,3432608998359040.0,3432608998359040.0,4978578986893312.0,inf,8.599553880828121e+25
1,1198.4754638671875,10691.96875,2645.619384765625,2645.619384765625,0.009967391,784459.75,675813523456.0,28362215424.0,809039429632.0,809039429632.0,1205442052096.0,inf,1.5270475974311936e+16
2,1121.43505859375,10698.9189453125,2525.03955078125,2525.03955078125,0.009950603,776444.625,438855008.0,134175312.0,416858112.0,416858112.0,579864320.0,1.3105334374516732e+28,8587871397085184.0
3,1048.93310546875,10699.7392578125,2474.93896484375,2474.93896484375,0.009933842,774765.625,7009970.5,2821185.75,1159906.0,1159906.0,2108862.5,3.4249028489422676e+22,25858112749568.0
4,1024.2734375,10699.9921875,2448.413818359375,2448.413818359375,0.00991711,769795.1875,716710.25,168138.28125,802315.625,802315.625,1621025.25,7.917184029729256e+22,499376015278080.0
5,1006.1466064453125,10700.458984375,2432.791259765625,2432.791259765625,0.009900406,766887.3125,53664.765625,27574.16015625,33485.48046875,33485.48046875,755289.75,4.4932316725252194e+19,44357725978624.0
6,998.2112426757812,10700.3427734375,2426.016357421875,2426.016357421875,0.009883731,764572.75,14838.986328125,13392.6650390625,17121.583984375,17121.583984375,750839.75,2.4585612160699204e+19,79000017829888.0
7,992.8084716796875,10700.046875,2422.709716796875,2422.709716796875,0.009867083,763188.5625,3695.442138671875,11215.123046875,4170.10791015625,4170.10791015625,755516.0,1.2610832293901107e+17,72289450196992.0
8,989.3976440429688,10700.02734375,2419.171630859375,2419.171630859375,0.009850464,762186.5,2049.27099609375,10772.189453125,3301.5107421875,3301.5107421875,756322.9375,6.531688767999181e+16,140615098564608.0
9,985.0574340820312,10699.720703125,2415.70068359375,2415.70068359375,0.009833872,762000.8125,1503.4786376953125,10667.1318359375,2866.3095703125,2866.3095703125,757317.6875,2.410427773563699e+16,60436124794880.0
10,986.4570922851562,10699.904296875,2413.1591796875,2413.1591796875,0.009817308,761388.1875,1218.5633544921875,10642.1552734375,2531.050048828125,2531.050048828125,759445.25,1089456505356288.0,269520992206848.0
11,983.5359497070312,10699.8271484375,2409.577392578125,2409.577392578125,0.009800772,761577.6875,1172.7449951171875,10638.8779296875,2550.84130859375,2550.84130859375,758678.3125,4394598189236224.0,119566579531776.0
12,983.3801879882812,10699.6689453125,2406.278564453125,2406.278564453125,0.0097842645,761421.25,1096.1812744140625,10641.298828125,2456.27880859375,2456.27880859375,759629.625,867739623227392.0,258408905179136.0
