epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
0,156.1166229248047,689.2098388671875,205.923095703125,1051.24951171875,0.009990522,387146.03125,2.528455657319641e+21,2.0307313373015358e+21,4.703602441730392e+18,4.5638907229569884e+21,5.219618092052644e+18,inf,49879704.0
1,112.89826965332031,535.9234619140625,176.08731079101562,824.9090576171875,0.0099800015,384743.375,2.4670589359960883e+17,2.5885302318537114e+17,3123681932869632.0,5.0868256060001485e+17,3744291553804288.0,1.7392918902675193e+35,1402386432.0
2,125.92662048339844,312.65509033203125,172.31015014648438,610.891845703125,0.0099694915,382597.0625,65439275155456.0,79290288832512.0,11015103184896.0,155744674512896.0,7562654121984.0,2.915107781065672e+32,32749206.0
3,127.0575942993164,190.09271240234375,164.6358184814453,481.78607177734375,0.009958994,381941.3125,548926849024.0,430433566720.0,60444319744.0,1039804858368.0,57224974336.0,1.577290032614156e+27,5938650.5
4,128.89059448242188,144.84622192382812,163.19192504882812,436.9287109375,0.009948506,381558.1875,72001600.0,59045976.0,6312669.5,137360240.0,6618089.5,1.1565743021366444e+19,6085469.0
5,125.83732604980469,121.30322265625,161.90670776367188,409.04730224609375,0.00993803,381302.0625,831912.625,165214.96875,524623.9375,1521751.625,1009497.0,2.9812856207704064e+16,3281232.25
6,113.37030029296875,109.73103332519531,158.6414031982422,381.74273681640625,0.009927564,381255.53125,42665.54296875,42121.38671875,19021.89453125,103808.8203125,409532.0625,102511222456320.0,8091476.0
7,102.1630630493164,85.81946563720703,145.1279754638672,333.1105041503906,0.00991711,380875.9375,1291.266357421875,212.58224487304688,1156.4256591796875,2660.274658203125,384473.75,657409507328.0,61001556.0
8,79.40484619140625,64.397216796875,73.41496276855469,217.21701049804688,0.009906667,377914.9375,2292.16552734375,317.56085205078125,2238.6171875,4848.34375,379005.5625,1363350912.0,8088253440.0
9,40.688541412353516,40.56218719482422,20.571556091308594,101.82228088378906,0.009896235,377448.53125,566.1338500976562,180.042236328125,239.9271240234375,986.1031494140625,380017.15625,18197729280.0,13506631680.0
10,24.126277923583984,28.352069854736328,8.340344429016113,60.818687438964844,0.009885814,377469.5625,3585.14453125,1697.2659912109375,562.226318359375,5844.63671875,375082.75,25408765952.0,13223803904.0
11,17.237468719482422,22.264293670654297,5.889922142028809,45.39168167114258,0.009875404,377199.0,2328.47265625,588.1964721679688,1277.6956787109375,4194.36474609375,375026.4375,23003285504.0,13347825664.0
12,13.482610702514648,18.68528938293457,4.807492256164551,36.97539138793945,0.009865005,377088.34375,2654.931884765625,548.7972412109375,1419.650146484375,4623.3798828125,377174.4375,66927894528.0,13843100672.0
13,12.824069023132324,17.36320686340332,4.134963512420654,34.322242736816406,0.009854616,377217.84375,1321.6761474609375,244.20751953125,702.4823608398438,2268.365966796875,378534.8125,19409639424.0,13246618624.0
14,19.28982162475586,18.34825897216797,4.077850818634033,41.7159309387207,0.009844239,377089.96875,1314.4915771484375,203.551025390625,940.1705322265625,2458.21337890625,378982.09375,45115736064.0,14162015232.0
15,12.615866661071777,16.064903259277344,3.521347761154175,32.202117919921875,0.009833872,377149.25,1176.291015625,150.7795867919922,914.4275512695312,2241.498046875,380226.3125,38268059648.0,13407709184.0
